"","country","PDI","IDV","MAS","UAI","num_u","num_q","num_a","num_tp_c","num_tp_e","perc_a","perc_q","perc_tp_c","perc_tp_e","GNI","Internet","EPI","WVS"
"15","Denmark",18,74,16,23,4029,3.61136583492327,5.80377783980793,9.06353661845764,4.6884095354281,0.556713824770415,0.621245966741127,0.289401836684041,0.115909655001241,59770,90,69.3,1.87
"16","Ecuador",78,8,63,67,278,2.80989601605239,3.47875196439516,5.7702022138644,1.86258450735013,0.449640287769784,0.446043165467626,0.161870503597122,0.039568345323741,5200,31.4,51.05,NA
"17","Egypt",70,25,45,80,1965,3.5092635814897,4.51437557890077,6.94172242213591,3.65671851187769,0.443256997455471,0.518575063613232,0.186259541984733,0.0743002544529262,3000,95,42.13,-0.54
"18","El Salvador",66,19,40,94,133,3.62868067925398,4.43982699243412,17.6657016811166,4.05411507770681,0.473684210526316,0.496240601503759,0.135338345864662,0.0526315789473684,3580,18.9,43.46,0.53
"19","Estonia",40,60,30,60,621,3.73801743138265,7.52950603704267,14.4030595982123,6.5751385875137,0.595813204508857,0.581320450885668,0.322061191626409,0.14170692431562,15830,76.5,61.39,-1.19
"20","Ethiopia",70,20,65,55,129,3.1880930876142,3.35216105106061,7.32901677894527,2.61699465182652,0.333333333333333,0.410852713178295,0.10077519379845,0.062015503875969,410,1.1,NA,-0.36
"21","Finland",33,63,26,59,2046,3.29609737909518,6.6189831006666,12.0727772299182,5.34026849665388,0.585043988269795,0.489247311827957,0.314271749755621,0.129521016617791,46940,89.4,64.4,1.12
"22","France",68,71,43,86,11450,3.26165892355147,6.1581623665959,10.412237133292,4.68600471835875,0.591004366812227,0.550305676855895,0.292838427947598,0.131528384279476,41750,79.6,52.69,1.13
"23","Germany",35,67,66,65,18374,3.6575020661587,7.39588321109738,12.9822062226039,5.42758827089094,0.616414498748231,0.597637966692065,0.343583324262545,0.160988353107652,44010,83,60.89,0.44
"24","Ghana",80,15,40,65,208,2.55597586222887,2.47893924429361,5.57608051491566,3.10140469710745,0.346153846153846,0.389423076923077,0.0865384615384615,0.0336538461538462,1550,14.1,NA,-0.29
"25","Greece",60,35,57,112,2068,3.54659841259569,5.9195111300837,10.4244835063547,6.02076339947744,0.512088974854932,0.550290135396518,0.252901353965184,0.106382978723404,23260,53,NA,0.55
"26","Guatemala",95,6,37,101,215,2.44757088646077,3.61629358945691,5.67507682421723,3.51621274390177,0.516279069767442,0.446511627906977,0.172093023255814,0.0558139534883721,3140,12.3,45.77,-0.17
"27","Hong Kong",68,25,57,29,970,3.72501000479021,5.87117132534938,9.63932852367678,6.22938574674887,0.509278350515464,0.541237113402062,0.267010309278351,0.0938144329896907,36560,72.2,52.5,-0.98
"28","Hungary",46,80,88,82,1842,3.41316432128684,6.61455475067791,10.9950539652764,4.47244111053204,0.560260586319218,0.508686210640608,0.292073832790445,0.11672095548317,12370,70,58.55,-1.22
"29","India",77,48,56,40,70970,3.80973413797235,5.22457856026541,9.33396082163194,5.35018389650052,0.455826405523461,0.581442863181626,0.202296745103565,0.0947442581372411,1530,10.1,53.54,-0.21
"30","Indonesia",78,14,46,48,3585,2.76860260765525,3.28854955666409,6.1175642432516,3.79228630001767,0.321059972105997,0.421478382147838,0.110739191073919,0.0359832635983264,3420,12.3,52.74,-0.8
"31","Iran",58,41,43,59,3155,4.25403398875171,4.95969461622712,8.3283648663678,4.57255445702165,0.469413629160063,0.557210776545166,0.209508716323296,0.111251980982567,NA,100,41.83,NA
"32","Iraq",95,30,70,85,144,2.41635663122916,2.22849551840744,4.12474477940223,2.80970581608967,0.291666666666667,0.430555555555556,0.0625,0.0416666666666667,5870,5,38.02,-1.68
"33","Ireland",28,70,68,35,2884,3.85638208897272,6.06867410839757,9.76673145770164,4.87684714153168,0.556518723994452,0.612690707350901,0.28502080443828,0.120319001386963,38970,76.8,NA,1.18
"34","Israel",13,54,47,81,2963,5.71000949914503,9.49528251890645,13.4973765312777,5.69051085255523,0.673641579480256,0.690516368545393,0.416807289908876,0.18393520080999,28380,68.9,NA,0.36
"35","Italy",50,76,70,75,6822,3.6240646892415,5.52449019887971,9.17835509888681,5.37372777816407,0.529170331281149,0.589123424215772,0.255496921723835,0.10583406625623,33840,56.8,52.8,0.6
"36","Jamaica",45,39,68,13,109,2.96267908718216,3.72332303658472,13.8343819638878,6.71067647275577,0.394495412844037,0.541284403669725,0.137614678899083,0.0642201834862385,5140,37.5,NA,NA
"37","Japan",54,46,95,92,2692,3.29964226479091,4.71613061381875,10.056809563894,4.24187937569369,0.448736998514116,0.428306092124814,0.192421991084695,0.0861812778603269,47870,79.1,52.88,-0.05
"38","Kuwait",90,25,40,80,168,3.36355389437332,4.10645603616518,9.62869549760468,7.53259402141794,0.410714285714286,0.595238095238095,0.18452380952381,0.0773809523809524,44100,74.2,41.8,NA
"39","Latvia",44,70,40,63,673,3.63054650181349,6.89953103138776,10.0146400716603,5.093772726108,0.569093610698366,0.557206537890045,0.320950965824666,0.108469539375929,14200,71.7,59.43,-1.27
"40","Lebanon",75,40,65,50,401,4.49752007323031,6.33277316862995,9.80841877033608,3.8111085100312,0.551122194513716,0.665835411471322,0.296758104738155,0.119700748129676,9190,52,NA,NA
"41","Lithuania",42,60,40,63,850,3.90091209102024,5.37917984119081,8.84585464731373,3.16332980003821,0.601176470588235,0.569411764705882,0.297647058823529,0.127058823529412,13920,65.1,NA,-1
"42","Luxembourg",40,60,50,70,180,3.65944938200823,6.77864629004646,14.6630337072318,5.47480973809701,0.533333333333333,0.511111111111111,0.272222222222222,0.127777777777778,76960,90.9,NA,1.13
"43","Malaysia",104,26,50,36,1554,3.53181486296681,4.51903530422885,8.53209641075429,3.83797781990604,0.405405405405405,0.562419562419562,0.187902187902188,0.0733590733590734,9800,61,59.73,0.09
"44","Malta",56,59,47,96,255,5.32650539882758,5.47211612521693,7.93048919205073,4.08437263887501,0.568627450980392,0.725490196078431,0.305882352941176,0.109803921568627,19760,69.2,NA,-0.03
"45","Mexico",81,30,69,82,2973,2.85730455104242,4.09712291005668,7.4580316920429,3.29250533699217,0.473595694584595,0.454086781029263,0.182980154725866,0.0639085099226371,9600,35,49.83,1.03
"46","Morocco",70,25,53,68,547,3.29685803526535,4.65965205101257,10.4353365242683,7.73253449932472,0.444241316270567,0.497257769652651,0.16636197440585,0.0712979890310786,2950,53,42.43,-1.04
"47","Netherlands",38,80,14,53,9298,3.4509534334467,6.83753931619313,11.8629376474036,5.13631001972415,0.616799311679931,0.595396859539686,0.328027532802753,0.149709614970961,48250,92.3,68.99,1.39
"48","New Zealand",22,79,58,49,2883,3.89430645933828,7.34446591899781,11.7799290227912,4.52523160027503,0.618106139438085,0.626430801248699,0.348942074228234,0.156087408949011,30620,86,NA,1.86
"49","Nigeria",80,30,60,55,705,3.16810424852324,3.37420921634358,5.67276931719375,3.11353906201614,0.417021276595745,0.478014184397163,0.123404255319149,0.0453900709219858,1430,28.4,NA,0.28
"50","Norway",31,69,8,50,3128,3.77302968007683,6.74443624789985,9.81268958677647,5.03462948933044,0.599744245524297,0.588235294117647,0.341112531969309,0.124680306905371,98860,94,64.33,2.17
"51","Pakistan",55,14,50,70,4809,3.92885707132352,5.30641884400399,10.0139786965561,4.62206232002029,0.474318985236016,0.608026616760241,0.213557912247869,0.101268454980245,1260,9,NA,1.25
"52","Panama",95,11,44,86,116,2.11656403156112,2.64804023597127,3.85223318359223,6.08276253029822,0.474137931034483,0.508620689655172,0.146551724137931,0.0172413793103448,9850,42.7,43.7,NA
"53","Peru",64,16,42,87,534,3.64573964566485,5.77315438384223,10.6962394332741,7.50435473323055,0.47752808988764,0.468164794007491,0.228464419475655,0.0936329588014981,5880,36,51.46,0.03
"54","Philippines",94,32,64,44,2860,3.94918726622222,4.95666494529408,9.57142256581388,4.89500613387368,0.432517482517483,0.574125874125874,0.198951048951049,0.077972027972028,2470,29,NA,-0.11
"55","Poland",68,60,64,93,6069,3.55907983216881,6.63792778389667,10.094507179563,4.91759062800005,0.583292140385566,0.567144504860768,0.311253913330038,0.126379963750206,12660,64.9,64.26,-0.14
"56","Portugal",63,27,31,104,2851,3.37677750594231,4.86949551930692,7.98036600786754,3.86847729279291,0.525780427920028,0.576289021396001,0.248333917923536,0.106278498772361,20580,57.8,56.83,0.49
"57","Romania",90,30,42,90,3570,3.83241987500113,6.52066592710514,9.81032212233061,5.40123019074963,0.564145658263305,0.57843137254902,0.289915966386555,0.113445378151261,8150,44,58.63,-1.55
"58","Russia",93,39,36,95,10701,3.14823571032055,5.33157774285604,8.35687198627119,4.55760256346279,0.517615176151762,0.485842444631343,0.24053826745164,0.0832632464255677,12700,49,50.44,-1.42
"59","Saudi Arabia",95,25,60,80,328,3.54934015613516,4.17257522847838,10.9023525138199,4.88357991701413,0.411585365853659,0.5,0.155487804878049,0.0670731707317073,21210,47.5,39.48,0.15
"60","Serbia",86,25,43,92,1294,3.49447562081375,5.37404176015886,9.08551939228178,4.91877824626867,0.519319938176198,0.523956723338485,0.247295208655332,0.0834621329211747,5280,42.2,NA,-0.62
"61","Sierra Leone",70,20,40,50,4,2,4.47213595499958,3,NA,0.5,0.5,0.25,0,580,0.9,NA,NA
"62","Singapore",74,20,48,8,2270,4.09322651920417,6.11237727798496,9.51504417756847,4.19323926101138,0.522907488986784,0.601321585903084,0.276651982378855,0.101321585903084,47210,71,59.58,NA
"63","Slovakia",104,52,110,51,861,4.0578608415774,6.99805068627341,11.8053704108543,4.9954488213227,0.570267131242741,0.579558652729384,0.315911730545877,0.133565621370499,17180,74.4,55.96,-0.43
"64","Slovenia",71,27,19,88,692,4.07372210144232,6.80640627996472,11.4613369504021,4.60695612254217,0.61271676300578,0.628612716763006,0.333815028901734,0.111271676300578,22810,69,60.6,0.36
"65","South Africa",49,65,63,49,3726,3.61907381708215,5.21849104497459,9.34647706063567,3.55922260213784,0.526570048309179,0.58695652173913,0.243156199677939,0.108964036500268,7610,34,NA,-0.1
"66","South Korea",60,18,39,85,1784,2.82904353819922,3.52660837799225,7.89624980337307,4.41767306904929,0.319506726457399,0.40695067264574,0.106502242152466,0.0414798206278027,22670,83.8,53.62,-1.37
"67","Spain",57,51,42,86,7349,3.14528598792245,5.01851705207199,8.08126846281563,4.76082304777396,0.526330112940536,0.503333786909784,0.234589740100694,0.0928017417335692,30110,67.6,57.18,0.54
"68","Sweden",31,71,5,29,6980,3.68959242936101,6.60394145427117,10.2844584268275,4.64441707531435,0.601289398280802,0.593839541547278,0.334527220630372,0.138968481375358,56210,94,67.8,2.35
"69","Switzerland",34,68,70,58,3623,3.87640423035986,7.49672142931199,12.5537831636995,5.82370146497215,0.635109025669335,0.602815346398013,0.359922715981231,0.168644769528015,82730,85.2,58.29,1.9
"70","Taiwan",58,17,45,69,1341,2.77835308685041,3.77036823448611,6.56915770184463,3.89736381553386,0.398210290827741,0.3944817300522,0.158090976882923,0.0439970171513796,NA,NA,52.56,-1.18
"71","Tanzania",70,25,40,50,93,3.0739285171672,2.55683860630672,4.22876052374815,1.31607401295249,0.32258064516129,0.462365591397849,0.0967741935483871,0.043010752688172,570,12,NA,NA
"72","Thailand",64,20,34,64,1152,3.59363407441572,4.70910308111792,8.3703988341103,4.01468952277966,0.388888888888889,0.410590277777778,0.170138888888889,0.0581597222222222,5210,23.7,47.79,0.01
"73","Turkey",66,37,45,85,4506,3.71117091672467,5.09132251005992,7.86214677753118,4.13927970260938,0.467598757212605,0.505326231691079,0.218153573013759,0.0881047492232579,10830,43.1,47.8,-0.33
"74","United Kingdom",35,89,66,35,35303,4.21481838001036,7.43466393674794,12.0226979126534,5.4244999903434,0.60377305044897,0.631447752315667,0.334844064243832,0.151431889641107,38250,86.8,NA,1.68
"75","United States",40,91,62,46,130197,3.79464097129145,6.72303562573186,10.9848613229064,4.74439599570419,0.588884536510058,0.577578592440686,0.319999692773259,0.132261112007189,50120,77.9,NA,1.76
"76","Uruguay",61,36,38,100,569,2.93832546061436,5.5161967244382,8.1230021249101,3.39525717906213,0.567662565905097,0.518453427065026,0.261862917398946,0.101933216168717,13510,51.4,49.61,0.99
"77","Venezuela",81,12,73,76,686,3.72271340154442,3.79707893558345,6.68078358346671,3.13136590259376,0.4533527696793,0.516034985422741,0.196793002915452,0.0787172011661808,12500,NA,46.12,0.43
"78","Vietnam",70,20,40,30,2319,2.94580559736516,3.67105563162153,7.16179732131822,4.1586224934499,0.370418283742993,0.421302285467874,0.128503665373006,0.03751617076326,1400,35.1,51.57,-0.26
"79","Zambia",60,35,40,50,47,2.63329076412964,2.61428896358469,281,13,0.212765957446809,0.446808510638298,0.0212765957446809,0.0212765957446809,1350,11.5,NA,-0.62
